sample_id	url	host	text_preview	predicted_domain	gold_domain	reviewer_note
s0016	https://steptohealth.co.kr/learn-about-the-advantages-of-using-led-bulbs/?utm_source=Decor%20Tips&utm_medium=mc_network&utm_campaign=home_related/	steptohealth.co.kr	LED 전구 사용의 이점 알아보기 조명이 필요한 영역에서 LED 전구(발광 다이오드)를 사용하면 여러 가지 이점이 있다. 간판용으로 사용되기 시작했지만 LED 전구 사용이 이제 가정 대부분으로 확장되었다. 환경과 가정 경제에 긍정적인 영향을 미치기 때문이다! 발광 다이오드는 최근 몇 년 동안 발전하여 더 높은 성능을 제공	web_general		
s0017	http://www.dgpost.kr/2023/01/13/%EA%B3%BC%EC%82%B0%ED%99%94%EC%88%98%EC%86%8C-%ED%99%94%ED%95%99-%EC%A7%80%ED%91%9C-%EC%8B%9C%EC%9E%A5-%EA%B0%9C%EC%9A%94-%EC%83%81%EC%84%B8-%EB%B3%B4%EA%B3%A0%EC%84%9C	www.dgpost.kr	글로벌 과산화수소 화학 지표 시장보고서는 과산화수소 화학 표시기 산업의 현재 및 미래 전망에 대한 포괄적인 분석에 중점을 둡니다. 각 세그먼트 및 하위 세그먼트의 성장률을 분석하기 위해 과산화수소 화학 지표 시장의 과거 동향, 미래 동향, 산업 발전 및 규제 요구 사항에 대한 심층 분석이 수행되었습니다. 이 산업의 주요 	web_general		
s0018	https://bouquetgarni.kr/article/%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD/4/77191/?no=77191&board_no=4&spread_flag=T	bouquetgarni.kr	부케가르니를 사용해 본 고객님들의 생생한 후기를 확인해보세요! 9,900원 건조한 환절기때 넘 고생하는 1인이에요 머리끝부터 발끝까지 안건조한곳이 없어요ㅠㅠ 입술은 자꾸 부르트고 각질이 벗겨지구요 그래서 구매하게 되었는데용 포장부터 귀엽네요:) 사이즈도 딱 좋아서 가지고 다니기 좋고 2개 구성이라 하나는 집에서 하나는 외	web_general		
s0019	https://newsroom.posco.com/kr/%EB%8C%80%C2%B7%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85-%EA%B3%B5%EC%83%9D%EC%9D%98-%EC%86%94%EB%A3%A8%EC%85%98-%EC%84%B1%EA%B3%BC%EA%B3%B5%EC%9C%A0%EC%A0%9C/	newsroom.posco.com	※ 포스코뉴스룸에서는 <기업시민 포스코의 솔루션> 시리즈를 연재합니다. 지난해 기업시민헌장을 선포하며 선명하게 밝힌 바, 우리 사회가 당면하고 있는 사회경제적 이슈와 문제를 포스코가 어떻게 바라보고 있는지 구체적으로 솔루션 사례를 제시할 계획입니다. 7편. 중소기업과의 동반성장 이슈 소재, 부품, 장비의 국산화율 60% 	news		
s0020	https://velog.io/@planethoon/HTTP	velog.io	HTTP는 HyperText Transfer Protocol의 약자로 HTML 문서를 전송하기 위한 Application Layer 프로토콜이다. 이 HTTP의 대표적인 특징은 무상태성(stateless)이다 무상태성은 말 그대로 상태를 가지고 있지 않다는 뜻으로, HTTP로 클라이언트와 서버가 통신을 주고 받는 과정에서	blog		
s0021	https://www.kjforum.org/2014/06/24/%EC%9D%BC%EB%B3%B8-%ED%8E%B8%EC%9D%98%EC%A0%90-%EC%BB%B5%EB%9D%BC%EB%A9%B4-%EB%8B%B4%EB%B0%B1%ED%95%9C-%ED%9B%84%EA%B8%B0-%EB%AA%87%EA%B0%80%EC%A7%80/	www.kjforum.org	일본 편의점 : 컵라면. 담백한 후기 몇가지 일본 편의점 : 컵라면. 담백한 후기 몇가지 http://blog.naver.com/my_doby/220028561512 사실 이 날은 몸이 좀 안좋았더랬다 아침부터 좋지않았는데 비오는데다가 죠사이엔까지가고, 수업시간까지 꽤 긴날이어서 집에 돌아오니 쭉-뻗었다 ㅋㅋㅋㅋㅋ 엄마의	community		
s0022	http://rivertrail.net/bbs/board.php?bo_table=e1&wr_id=107&page=6	rivertrail.net	2017 달빛강길 시작합니다. 매년 진행되는 달빛강길에서 기억에 남는건 과거 어린 나를 만난 일과 달빛아래 길고 작았던 실루엣, 높고 낮았던 다양한 음색 그리고 소박한 공연입니다. 이번주 토요일에는 올해들어 시작하는 첫 달빛강길이 진행됩니다. 소박한 달빛공연은 이정효님의 오카리나 연주입니다. 여강가에서 바람 소리를 타고 	web_general		
s0023	http://korusreport.com/?p=664	korusreport.com	트럼프 ‘미치광이 전략’ 결국 무기, 물건 장사 미국대통령으로서는 25년만에 처음으로 국빈으로 한국땅을 밟아 24년만에 처음 국회에서 연설한 도널드 트럼프 미국 대통령은 분명 톤다운된 어조, 달라진 태도를 보였다. 그는 취임 10개월동안 안보와 통상, 이민, 건강, 환경 등 전임자 정책들을 모두 뒤집고 적과 동지를 가리지	web_general		
s0024	http://higoodday.com/index.php?mid=national&act=dispOnpostContentView&doc_srl=566255	higoodday.com	■안박사 수학전문학원 10년 동안 수학지도 '외길' 한 교실서 진도별 개인지도 여름방학8주 프로그램 다양 과학·수학 병행 프로그램도 수학은 어떤 과목보다도 어렵고 거리가 멀게 느껴지는 과목 중 하나다. 오죽하면 수포자(수학포기자)라는 단어까지 생겨났을까? 수학은 논리적으로 생각하는 힘을 길러주는 필수과목이지만 개념이 추상	web_general		
s0025	https://joinsmediacanada.com/bbs/board.php?bo_table=column&wr_id=1868&page=1	joinsmediacanada.com	페이지 정보작성자 최재동 쪽지보내기 메일보내기 자기소개 아이디로 검색 전체게시물 작성일18-07-12 14:19 조회490회 댓글0건 본문 코퀴틀람의 오스틴하이츠 지역 개발은 2011년부터 2030년까지 약 20년간 코퀴틀람 지역에 증가하는 인구에 대응하여 함축적이고 효율적인 도시공간을 만들어간다는데 목표를 두고 있다. 	web_general		
s0026	http://www.betanews.net/article/828085	www.betanews.net	입력 : 2018-03-22 12:48:35 IBM 기초연구소가 파이브 인 파이브(5 in 5)로 이름붙인 미래 예측 보고서를 발표했다. 보고서에는 향후 5년 내에 비즈니스와 사회를 근본적으로 바꿀 5대 기술에 대한 전망을 담았다. 첫째는 암호 앵커와 블록체인의 위조 방지 기술이다. 향후 5년 내에 일상용품이나 단말기에 	news		
s0027	http://www.allstech.co.kr/sub1_1.php?page_orders=3	www.allstech.co.kr	|인사말  저희 알스텍을 방문하여 주셔서 감사합니다. 저희 알스텍은 수십년간 다져온 핵심기술을 바탕으로 철도차량에 사용되는 제어시스템의 연구, 개발, 생산에 힘을 기울이고 있습니다. 안정성(Safety)을 바탕으로 최고의 퍼포먼스를 낼 수 있는 제품의 개발을 성공적으로 이루어왔고, 대표적으로 전동차추진(Propulsion	web_general		
s0028	https://teslapronews.ru/ko/%ED%85%8C%EC%8A%AC%EB%9D%BC-%EB%82%A8%ED%98%B8%EC%A3%BC-%EA%B0%80%EC%83%81-%EB%B0%9C%EC%A0%84%EC%86%8C-4%EB%8B%A8%EA%B3%84-%EC%B0%A9%EC%88%98/	teslapronews.ru	Tesla는 최근 남호주에서 VPP(Virtual Power Plant) 프로젝트의 4단계를 시작했다고 발표했습니다. 가장 새로운 단계는 성장하는 네트워크에 추가로 3,000개의 저소득 가정을 환영할 것입니다. 남호주에서 진행되는 Tesla의 VPP 프로젝트는 매우 야심차며, 이 이니셔티브는 일반적으로 회사의 전기 자동차	news		
s0029	https://www.cktimes.net/opinion/%EC%8B%A0%EC%9A%A9-%EC%A0%90%EC%88%98%ED%81%AC%EB%A0%88%EB%94%A7-%EC%8A%A4%EC%BD%94%EC%96%B4%EB%9E%80-2/?sca=%EB%9D%BC%EC%9E%84%ED%8A%B8%EB%A6%AC+%EB%AA%A8%EA%B8%B0%EC%	www.cktimes.net	크래딧 리포트(Credit Report, 신용평가서)는 개인의 신용 상태를 평가하기 위해 평가 항목별로 점수를 계산하여 표기하는 문서를 말합니다. 신용평가서는 은행 등의 여신 관련 의사결정에서 중요한 자료로 활용되고 있습니다. 이 신용평가서에 기재된 신용등급점수는 은행에서 좋은 이자율을 받을 때뿐만 아니라 콘도나 집을 렌	news		
s0030	https://blogzib.com/%EC%97%94%EC%B9%B4-%ED%97%88%EC%9C%84%EB%A7%A4%EB%AC%BC-%EC%84%A0%EB%B3%84%ED%95%98%EB%8A%94-%ED%8C%81-4%EA%B0%80%EC%A7%80	blogzib.com	본 포스팅은 다수의 엔카 구입 경험을 바탕으로 저만의 엔카 허위매물 고르는 방법에 대해서 설명하고 있습니다. 저의 경우 신차를 사는 것보다 신차 같은 중고차를 자주 구매하는 편이라, 엔카 사이트를 자주 이용합니다. 하지만, 엔카의 경우 허위매물 걱정을 하지 않을 수가 없죠. 그래도 제가 이제껏 엔카를 이용해 중고차를 구매	web_general		
s0031	https://unesco-iwssm.org/uneIntro/businessBudget_1	unesco-iwssm.org	국제 사회는 교육을 통한 빈곤퇴치 및 삶의 질 향상을 위해 2015년 까지 모든 사람을 위한 교육(EFA)을 달성하기로 약속한 바 있다. 세계 교육 포럼(World Education Forum, 다카르, 2000)에서는 2015년까지 다음의 6가지 목표를 달성하는 데 합의하였다. www.unesco.org/educatio	ko_en_mixed		
s0032	https://ssully.joins.com/View/902	ssully.joins.com	로그인이 필요해요 아니, 괜찮아 로그인하기 모드 설명 다음 버튼 설명 Close 썰리 이전 페이지로 이동 전체보기 7 공유 캐럴에 데이트 폭력을 암시하는 가사가 왜 있을까? 2018.12.24 스크랩 37 얏호 곧 크리스마스다 크게보기 징글벨 징글벨~징글 올 더 웨이~ 옛날에는 아무 생각 없이 불렀는데 요즘에는 좀 조심스	news		
s0033	https://aseura.com/%EC%98%A4%EB%9E%98%EB%90%9C-%EC%82%AC%EA%B3%BC-%EB%A8%B9%EB%8A%94%EB%B2%95-4%EA%B0%80%EC%A7%80%EB%8A%94/	aseura.com	냉장고에 오래 보관한 사과는 수분이 빠지면서 겉은 쭈글하고 속은 퍼석한 상태가 된다. 생과를 그대로 먹기에는 식감이 굉장히 나빠서 사실상 어렵다. 그렇다고 비싼 사과를 버릴수도 없는 노릇이라서 난감한 상황에 빠지는 경우가 많다. 이때 활용 가능한 방법이 4가지 있다. looks_one사과잼 – 껍질을 깍은 사과를 잘게 썰	web_general		
s0034	https://ver3.kmua.or.kr/%ED%96%89%EC%82%AC%EC%9D%98-%EC%8B%9C%EC%9E%91%EC%9D%84-%EC%95%8C%EB%A6%B0-%EA%B9%80%EA%B2%BD%ED%9D%AC%EC%9D%98%EC%83%81-80%EB%8F%99%EB%AC%B8%EC%9D%98-%EA%B5%90%EA%B0%80-%EB%82	ver3.kmua.or.kr	국민대학교 총동문회 홈페이지 2024년 총동문회 상임위원 워크숍이 충남 일원에서 3월 29일, 30일 양일간 개최됐다. 총학생회가 주최하고 총동문회가 후원하는 총동문회장배 용두리컵 축구/농구대회가 지난 3월 11일 모교 대운동장과 체육관에서 동시에 개최됐다. 총동문회가 41-1회기 2차 상임위원회를 개최하고, 상임위원 워	web_general		
s0035	http://aafc-korea.over-blog.org/2016/01/56a52930-bed3.html	aafc-korea.over-blog.org	(평양 1월 24일발 조선중앙통신) 남조선인터네트신문 《민중의 소리》에 의하면 남조선의 기독교교회협의회가 21일 일본군성노예문제해결을 위한 특별선언을 발표하여 성노예문제《합의》를 전면거부한다고 밝혔다. 선언은 지난해 12월 28일 남조선과 일본당국사이의 성노예문제《합의》는 력사를 외곡한 정치행위라고 규탄하였다. 《합의》는	blog		
s0036	https://m.hub.zum.com/chosun/103508	m.hub.zum.com	“놀러 다니는 열정으로 공부를 했으면 하버드대를 갔지!” 어릴 적부터 부모님은 이렇게 말씀하셨습니다. 동료들과 퇴근 후 한잔하고 싶은데 어디가 맛집인지 모르겠다고요? 친구, 연인과 주말을 알차게 놀고 싶은데 어디가 핫플인지 못 찾으시겠다고요? 놀고 먹는데는 만렙인 기자, 즉흥적인 ENTP이지만 놀러갈 때만큼은 엑셀로 계획	news		
s0037	https://ogige.com/ko/cosmetics-ko/%EB%B9%84%EB%93%AC%ED%83%88%EB%AA%A8%EB%BE%B0%EB%A3%A8%EC%A7%80-out-%EB%91%90%ED%94%BC%EA%B1%B4%EA%B0%95-%EC%A7%80%ED%82%A4%EC%9E%90/	ogige.com	마스크에 가려지는 입술, 요즘 트렌드는 눈화장! 피부는 신경 써서 관리 하면서 두피는 방치하고 있다면 비듬, 탈모, 뾰루지 등으로 걱정 해본 적, 한번씩은 다들 있잖아. 대기 중에 노출 되어 있고, 머리카락이 촘촘히 나 있어 먼지나 노폐물이 끼기 쉬운 두피! 이제 방치 해 뒀던 두피, 신경써서 관리 해 봐. -아이섀도우 	web_general		
s0038	https://www.localnaeil.com/News/View/651054	www.localnaeil.com	영어 학습 정서 갖추기 초등학교 저학년 시기에 절대 뛰어넘어서는 안 되는 단계가 바로 영어에 대한 올바른 학습 정서를 갖추는 부분이다. 적어도 수능까지 10년은 영어와 떼려야 뗄 수 없는 환경이기 때문에 이 시기에 향후 10년을 위한 공을 들여야 한다. 그러면 어떻게 올바른 영어 학습 정서를 갖출 수 있을까? 초등학교 저	web_general		
s0039	http://gygc.kr/member/member04.asp	gygc.kr	광양컨트리클럽은 지금껏 경험하지 못했던고/품/격/의 시/설/ 및 서/비/스로 귀하를 모십니다. 표준약관 제10033호(2022. 12. 9. 개정) 제1조(목적) 이 약관은 골프장사업자(이하 “사업자”라 한다)와 골프장의 시설물을 이용하려는 모든 내장객(이하 “이용자”라 한다)간의 골프장 시설물 이용 및 이에 따르는 책임	web_general		
s0040	http://www.munhwa.com/news/view.html?no=2018041801033711000001	www.munhwa.com	황성준 논설위원 北, 대화로 핵 포기 가능성 적어 시리아式 응징 타격 대두할 듯 韓, 최악 상황도 대비해야 한다 문재인-김정은 남북정상회담이 이제 9일 앞으로 다가왔다. 청와대는 27일 남북정상회담의 표어를 ‘평화, 새로운 시작’이라고 정했다. 이번 남북 정상 간 만남이 평화의 시작이자, 미·북 정상회담의 길잡이 회담으로	web_general		
s0041	http://m.hankooki.com/m_gh_view.php?WM=gh&WEB_GSNO=10222408	m.hankooki.com	[골프한국 권준혁 기자] 코스에서 산전수전 겪으며 가장 오랫동안 1인자 자리에 올랐던 '골프황제' 타이거 우즈(43.미국)에게도 골프는 어렵다. 14일(이하 한국시간) 오후 미국 뉴욕주 사우샘프턴에서 개막하는 제118회 US오픈 골프대회(총상금 1,200만달러)에 출전하는 타이거 우즈가 대회 개막에 앞서 13일 공식 기자	web_general		
s0042	http://m.daara.co.kr/zine/news/view.php?idx=202709	m.daara.co.kr	제조분야의 화두인 ‘스마트팩토리’를 완성하기 위해서는 공장 내 정보를 데이터화해 가시화하는 과정이 우선돼야 한다. 그래야만 그 결과를 분석·반영한 효율적인 관리·운영이 가능하기 때문이다. 특히, 사람을 대신해 자동으로 제품을 가공하고 세팅하는 시스템을 갖추기 위해서는 정밀하고 고도화된 모션제어기술이 필요하다. 영국의 대표	web_general		
s0043	http://www.xportsnews.com/jenter/?ac=article_view&entry_id=986012&_REFERER=	www.xportsnews.com	[엑스포츠뉴스 이송희 인턴기자] 가수 뮤지가 자신의 닮은꼴을 언급했다. 14일 방송한 SBS파워FM '두시탈출 컬투쇼'에 스페셜DJ로 뮤지가, 게스트로 그룹 샤이니가 출연했다. 뮤지는 자신의 닮은꼴로 또치와 이간질 요괴가 있다고 했다. 한 청취자는 "오늘 노란색 티셔츠를 입어서 더 또치 같다"고 전해 웃음을 자아내기도 했	news		
s0044	http://news.zum.com/articles/45745898	news.zum.com	이탈리아 외무부는 13일(현지시간) 주이탈리아 프랑스 대사를 로마 외무부 청사로 초치했다. 이탈리아를 “냉소적이고 무책임하다”고 비난한 에마뉘엘 마크롱 프랑스 대통령에게 항의하는 의미로 취해진 조치다. 이번 사태는 이번 주 초 국제 구호단체 국경없는의사회(MSF)가 난민구조선 ‘아쿠아리우스’를 이탈리아에 정박시키려 하면서	news		
s0045	http://clomag.co.kr/tags/%EC%86%94%EB%A3%A8%EC%85%98	clomag.co.kr	해당 이메일로 답변을 보내드립니다. Some content in menu 2. 튜브-프리오, 풀필먼트 솔루션 '이런 공간' 개편 판매자의 엑셀 수작업, 각 마켓플레이스 데이터 크로울링으로 극복 풀필먼트 솔루션에 일괄 표시되는 주문 데이터(사진: 튜브) 화장품 및 건강기능식품 특화 3PL업체 튜브와 공급망물류 솔루... 이	web_general		
s0046	http://platoon2016.tistory.com/27	platoon2016.tistory.com	티스토리 뷰 (미국 업체중에는 최유력 후보임에도 불구하고 패배자가 되어버린 S&W의 M&P) http://www.thefirearmblog.com/blog/2016/09/24/breaking-smith-wesson-eliminated-us-armys-modular-handgun-system/ 미군의 차기 제식권총 선정(M	blog		
s0047	http://beksu.com/cc.php?tf=b3c39e090ddf9ff8d8f0f50a4af6d160	beksu.com	Qna - [촌(村), 새 삶을 열다]사진·동영상 마을사업하는 로컬스토리 미디어협동조합... - 상근하는 세 젊은이는 비상근인 디자이너, 미디어교육 강사와 함께 4월5일 시골 빈집을 빌려 협동조합을... 마을 홈페이지에 올릴 동영상 촬영, 지방자치단체 홍보영상 제작, 홍보 브로슈어 만들기, 각종 사례집 발간... 임신·육	web_general		
s0048	http://www.yonhapnews.co.kr/local/2018/06/14/0811010000AKR20180614009300061.HTML	www.yonhapnews.co.kr	[실시간뉴스] [6·13 선거] 경기 유일 여성 기초단체장 은수미 성남시장 당선인 (성남=연합뉴스) 최해민 기자 = "위임해주신 권한을 바로 여러분 삶의 변화, 성남의 변화, 대한민국의 변화를 위해 쓰도록 노력하겠습니다." 경기 성남시장 선거에서 승리한 은수미(54) 당선인은 도내 유일한 여성 기초 단체장이 됐다. 공천 	news		
s0049	http://serony.com/ken/tag/books/	serony.com	Books 얼마 전에 인호형의 email을 받았다. 예의 ‘김인호 컬럼’이 아닐까 했지만 이번에는 다른 ‘한양대 명예교수 정기인 교수‘에 관한 것이었다. ‘국제무역 특히 상사(商事) 중재 분야의 국내전문가’라고 소개 된 이 정교수가 ‘대변신’을 해서 어떤 책을 출간한 것에 관한 소식이었다. 흥미로운 사실은 전공인 경제와 	web_general		
s0050	http://www.etoday.co.kr/news/section/newsview.php?idxno=1603741	www.etoday.co.kr	J-뷰티, 고품질에 선도적인 마케팅으로 세계 시장에서 눈길…사드 직격탄 맞은 한국 업체 빈자리 채워 K-뷰티의 열기가 한풀 꺾인 중국 시장에서 일본산 화장품 즉, ‘J-뷰티’가 약진하고 있다. 세계에서 14번째로 큰 화장품 업체인 한국 아모레퍼시픽은 작년 4분기 순이익이 전년 동기보다 76% 급감했다. 같은 기간 매출액과	news		
s0051	http://www.penews.co.kr/news/articleView.html?idxno=4310	www.penews.co.kr	|▲ 양심 이미지| 때에 맞는 양심의 자발적인 행동 저(고세진 박사)에게 이런 친구가 있습니다. 미국인 입니다. 신약성경 전문가 입니다. 책도 여러권 내고 강의도 잘 하는 유능한 교수 입니다. 그가 갑자기 자기 학교에서 사직을 했습니다. 궁금해서 물었습니다. 미국에는 정년이나 은퇴 년령이라는 것이 없고, 아직도 팔팔한데 	news		
s0052	http://www.dailyvet.co.kr/news/college/91332	www.dailyvet.co.kr	전종한 현 천안시의회 의장(더불어민주당, 전종한동물병원장)이 6.13전국지방선거 더불어민주당 천안시장 예비후보 등록을 마쳤다. 전종한 의장은 2일 “중앙으로부터의 독립, 구시대로부터의 독립, 적폐로부터의 독립을 이루고 새로운 시대로 열겠다는 각오를 다지며 예비후보로 등록했다”고 밝혔다. 천안북일고를 졸업하고 충남대학교에서	web_general		
s0053	http://blog.koreadaily.com/view/myhome.html?fod_style=B&med_usrid=flashlight&fod_no=2&cid=1032122	blog.koreadaily.com	|카테고리| |최근 게시물| |최근 댓글| |최근 방문 블로거||더보기| 간판사진을 보고 스포츠교육센터인줄 알았는데,신문과 함께 온 광고판을 보고 물건을 파는 곳이었습니다. 하루가 다르게 아웃도어 코너가 문을 닫고,또 새롭게 오픈을 합니다. 근처에 두군데나 다 문을 닫았습니다. 대부분이 온라인으로 물건을 주문하다보니,가게	blog		
s0054	http://www.aktv.co.kr/news/articleView.html?idxno=54470	www.aktv.co.kr	[아시아경제TV 이유진 기자] 최근 골드만삭스나 워런버핏 등 월가의 거물들이 암호화폐 가치에 대한 상반된 의견을 내놓으며 암호화페 투자에 대한 끊임없는 논쟁이 이어지고 있다. 11일 방송된 아시아경제TV 암호화폐 전문방송 ‘코인넘버원’에서는 ‘내 암호화폐의 가치는?’을 주제로 이야기를 나누었다. 이날 방송에는 더원프로젝트	web_general		
